DOI,Sentence
10.1371_journal.pone.0096534,"The following preprocessing procedures were performed using Statistical Parametric Mapping (SPM8) software (Wellcome Department of Imaging Neuroscience; London, UK) implemented in MATLAB R2009b (MathWorks; Natick, MA, USA) for whole brain analysis: correction for head motion, adjustment of acquisition timing across slices, spatial normalization using the MNI template, and smoothing using a Gaussian kernel with a full width at a half-maximum of 5 mm."
10.1371_journal.pone.0181610,"In the lose condition, participants received 8 noise blasts, one each after the 8 rounds they lost (noise blast sequence: 60, -, 70, 80, -, 100, 90, 90, 90, 90, 90)."
10.1371_journal.pone.0197860,"All of the statistical analyses were conducted using SPSS17.0 (SPSS Inc., Chicago, IL, USA)."
10.1371_journal.pone.0199924,The statistics software SPSS 24 was used to perform descriptive data analysis in each sample (male and female) separately.
10.1371_journal.pone.0173525,"MNI coordinates for the channels were obtained using the NIRS_SPM software [40] with MATLAB (Mathworks, Natick, MA), and the corresponding anatomical locations of each channel were determined by the atlas provided [41, 42] and shown in S1 Table."
10.1371_journal.pone.0160360,All statistical analyses were performed with the Mplus statistical package version 7.3 and IBM SPSS version 22.
10.1371_journal.pone.0023889,"We used SPSS v.17 to estimate univariate Spearman Rank correlations, and partial correlation and multiple regression with backwards exclusion to identify associations with smoking prevalence that were independently significant at p<0.05."
10.1371_journal.pone.0046597,"Text files of the R-R interval data were extracted from the Polar watch and were entered into Kubios HRV (version 2.0, 2008, biosignal analysis and medical imaging group, University of Kuopio, Finland, MATLAB)."
10.1371_journal.pone.0188234,"Data were analyzed using SAS version 9.4 (SAS Institute, Carey, NC)."
10.1371_journal.pone.0208925,All statistical analyses were conducted using Stata (v.14).
10.1371_journal.pone.0110907,"The data were analyzed with MIXED procedure in the IBM SPSS Statistics software, version 21 (IBM Corporation, Armonk, New York, USA)."
10.1371_journal.pone.0073519,"All further statistical analyses (t-tests for dependent samples) were calculated using the software package SPSS 11.5 (SPSS Inc., Chicago, USA)."
10.1371_journal.pone.0090309,All analyzes were conducted using SPSS (version 20).
10.1371_journal.pone.0018521,SPSS and SAS were both used to analyse the data.
10.1371_journal.pone.0009708,Calibrations of eye fixations were conducted at the beginning of the experiment using a nine-point fixation procedure as implemented in the EyeLink API (see EyeLink Manual) and using Matlab software.
10.1371_journal.pone.0102471,"To create a set of control stimuli that retained acoustic correspondence, we synthesized nonvocal sounds by using Praat [44] and MATLAB (The MathWorks, Inc., Natick, MA, USA)."
10.1371_journal.pone.0024858,"The data were analyzed using SPSS software (Statistical Package for the Social Sciences, version 17.0)."
10.1371_journal.pone.0208623,All analyses were performed using Stata 14.2 [36].
10.1371_journal.pone.0192999,"All statistical analyses were carried out with SAS, version 9.3 (SAS Institute Inc., Cary, NC) except for meta-analyses, which were performed using Comprehensive Meta-Analysis Version 2.2.027 software (Biostat, Englewood, NJ)."
10.1371_journal.pone.0165634,"All the analyses were performed using Stata 12® (Stata Corporation, College Station, TX) and accounted for the complex sampling design and the data weighting so that the estimates are representative of the entire population of HIV-infected individuals followed at hospitals in France."
10.1371_journal.pone.0195078,All data were entered into the IBM Statistical Package for the Social Sciences (SPSS) 18.
10.1371_journal.pone.0157909,Calculations were done using SPSS 20.
10.1371_journal.pone.0025035,All computations were done using SAS V9.2.
10.1371_journal.pone.0073102,"The results are presented as a set of predicted probabilities of being fully immunized, estimated using logistic regression post-estimation command available in Stata 10.0 [52]."
10.1371_journal.pone.0204213,"Data analysis was conduct using SPSS 17.0 (IBM, Chicago, IL,USA) and Mplus 6.1."
10.1371_journal.pone.0199977,"Descriptive statistics of survey data were performed in STATA (Version 13; STATA Corp, College Station, TX, USA)."
10.1371_journal.pone.0127644,"Reliability analysis of the data and univariate analyses were performed using SPSS version 16.0 (SPSS Inc., Chicago, IL, USA) for Windows, and the SEM was produced using LISREL 8.5. χ2, RMSEA (root mean square error of approximation), SRMR (standardized root mean square residual), GFI (goodness-of-fit index), AGFI (adjusted goodness-of-fit index), and IFI (incremental fit index) were used to indicate whether the model was an adequate fit [34]."
10.1371_journal.pone.0104136,The API calls can be run on a specific tab in the Excel to analyze tweets.
10.1371_journal.pone.0188931,"All statistical analyses were conducted using SAS 9.3 software package (SAS Institute, Cary, NC, USA)."
10.1371_journal.pone.0192998,STATA version 13 was used to perform all statistical analyses.
10.1371_journal.pone.0159086,Regression models were estimated using IBM SPSS Version 22.
10.1371_journal.pone.0081725,"All subsequent analysis was performed with Matlab (Mathworks, Natick, MA, USA)."
10.1371_journal.pone.0136208,"We used the AMOS extension to IBM SPSS (v. 21.0) for structural equation modeling in order to identify associations of AR CAG repeat number, ethnicity and age with the number of children, mediated through BPAQ aggression scores."
10.1371_journal.pone.0151299,"Given that some families contributed more than one subject, hierarchical clustering of data was taken into account by including a family as a random effect in a linear mixed model, using the stata xtmixed command, fitted with restricted maximum likelihood estimation."
10.1371_journal.pone.0092550,"STATA version 11.2 software (STATA Corp, College Station, TX, US) was employed for our analyses."
10.1371_journal.pone.0146085,"All statistical tests were conducted in Stata 11 (Stata Corp., College Station, TX [41])."
10.1371_journal.pone.0094007,"All analyses were performed using STATA 11.0 (Statacorp, College Station, TX)."
10.1371_journal.pone.0029991,"The 2006-survey data were double entered and cleaned in Epi Info 6.04 (CDC, Atlanta; WHO, Geneva 1996), and analyzed with STATA 9.0 software (Stata Corp., College Station, TX)."
10.1371_journal.pone.0166345,"Associations with teenage motherhood were modeled using multilevel logistic regression of the above structure using STATA MP statistical package version 14 (StataCorp L, College Station, Texas, USA)."
10.1371_journal.pone.0135109,All statistical analysis was conducted in Minitab 16 (Minitab Ltd).
10.1371_journal.pone.0123391,"The Matlab statistics toolbox was used for statistical analysis of the intensity data of the 25 hybridizations from five different treatments (SC, F, B, I, F+I or B+I)."
10.1371_journal.pone.0195495,We imputed the data under an MAR assumption through multiple imputation using chained equations (Stata ICE package).
10.1371_journal.pone.0115885,The data were tabulated and analyzed using software Epi-Info version 3.5.2 and SPSS version 19.
10.1371_journal.pone.0128248,Mediation analysis was carried out with the commands “binary_mediation “and “bootstrap” in Stata 13 [52].
10.1371_journal.pone.0182736,We loaded the transcripts into MAXQDA 11 which is a software tool used to analyze qualitative data [88].
10.1371_journal.pone.0104225,"We undertook analyses in STATA, version 12."
10.1371_journal.pone.0083558,The actual CVI was a proportion of the items that received a rating of 3 or 4 by the experts.Socio-demographic characteristics and SAS-SV scores.
10.1371_journal.pone.0066204,SPSS version 18 is used for this analysis.
10.1371_journal.pone.0071085,"All statistical analyses were done in Stata 12 (Stata Corp. Inc. TX, USA)."
10.1371_journal.pone.0086237,"For the Alternating EE paradigm, statistical analyses were performed using SAS 9.3 statistical analysis software (SAS Institute)."
10.1371_journal.pone.0022971,"Therefore, an individual can be traced from household to household over the course of his or her life (as long as he or she resides in the Matlab study area)."
10.1371_journal.pone.0181132,"Analysis was then done by one researcher (SS) using MSOffice (Word and Excel, Microsoft Corp.) and NVivo (QSR International) software for qualitative data analysis."
10.1371_journal.pone.0150491,Quantitative data was analysed in SPSS using descriptive statistics.
10.1371_journal.pone.0198162,Survey responses were analyzed using STATA 15 [16].
10.1371_journal.pone.0202012,Data were analysed with IBM SPSS version 22.0 for Windows.
10.1371_journal.pone.0053879,"The data were analyzed using the Statistical Package for the Social Science (SPSS), version 17.0."
10.1371_journal.pone.0145265,For statistical analysis we used Stata.
10.1371_journal.pone.0182544,SPSS software (IBM SPSS statistics version 21) was used for statistical analyses.
10.1371_journal.pone.0197552,"Analyses were conducted using SPSS version 22.0 statistical software packages (SPSS, Chicago IL, USA)."
10.1371_journal.pone.0195693,All statistical analyses were performed with SAS (V 9.1.3) on a Win7 (64 bit) platform.
10.1371_journal.pone.0197020,"This negative binomial mixed model regression was run using Stata 13.0 (StatCorp, College Station, TX)."
10.1371_journal.pone.0185341,SPSS (version 22) was used for all analyses.
10.1371_journal.pone.0186610,Data are weighted to control for the survey design and random intercept models run in Stata 13 [30].
10.1371_journal.pone.0147654,The IBM Statistical Package for the Social Sciences (SPSS-22) software was used to analyze the quantitative data.
10.1371_journal.pone.0020722,A BLAST search [40] confirmed the absence of contamination with exogenous DNA.
10.1371_journal.pone.0155607,"The distributions of CES-D, SAS and PCL-C in categorical variables were calculated using independent sample t-test and one way analysis of variance (ANOVA)."
10.1371_journal.pone.0053144,"Tests on initiatorship and overtaking were run with PASW Statistics 18 (SPSS Inc., Chicago, IL, 2009), the other tests were run using R software (R Development Core Team, Vienna, Austria, R2.11.1)."
10.1371_journal.pone.0026641,"Four partial EST sequences for hexamerin (contigs 45616, 45913, 42334 and 40833: http://stan.cropsci.uiuc.edu/454/blast/waspblast.html) were available from the Polistes wasp EST data set to design primers."
10.1371_journal.pone.0161923,All analyses were conducted using Stata version 13[41].
10.1371_journal.pone.0015268,"Images were preprocessed and analyzed using SPM5 (Wellcome Department of Cognitive Neurology, London, UK), implemented in MatLab 7.2 (MathWorks™)."
10.1371_journal.pone.0183799,"The GBVS algorithm is available as Matlab® source code, it is applicable without initial training and it performs well in predicting fixations in free viewing conditions [20,21]."
10.1371_journal.pone.0173515,All statistical analyses used Stata v14 (StataCorp 2015) or R v3.2.2 (www.R-project.org).
10.1371_journal.pone.0056936,"As with the first SAS, the term “Internet” in Y-scale was changed to “smartphone.” In this study, the internal-consistency test result (Cronbach's alpha) of Y-scale was 0.95."
10.1371_journal.pone.0066222,All analyses were conducted using SPSS version 21.
10.1371_journal.pone.0073519,"Further analyses regarding behavioural data (t-test for paired samples) were carried out using SPSS 11 (SPSS Inc., Chicago, USA)."
10.1371_journal.pone.0002023,The resulting mean values for the activated regions were entered in an ANOVA (SPSS 11.5) comparison of the different conditions and regions.
10.1371_journal.pone.0184008,We used Support Vector Machine (SVM) with linear kernel (using Matlab functions “svmtrain” and “svmclassify”) as multivoxel pattern classifier for discriminating between social vs. individual action intention.
10.1371_journal.pone.0107621,"SPSS Statistics 20.0.0 statistical software (SPSS Inc., Chicago, IL) was used for all statistical analyses."
10.1371_journal.pone.0141953,"To estimate the prevalence of SRH and SRD by gender, we used STATA S.E."
10.1371_journal.pone.0207814,"Typed responses were imported into an Excel 2016 spreadsheet where each individual response was associated with participant diagnosis, memory specificity, and rated valence."
10.1371_journal.pone.0192925,"20.0; SPSS Inc., Chicago, IL, USA)."
10.1371_journal.pone.0100914,Higher scores on the SDS or SAS indicated a higher level of mental disorder.
10.1371_journal.pone.0159551,All such interviews were conducted by native language interviewers in each country using CATI-SPSS Dimensions software.
10.1371_journal.pone.0093594,All data were analyzed in SPSS using macros for meta-analysis [60].
10.1371_journal.pone.0173826,"All data were analyzed by SPSS (Version 23) by univariate and multivariate procedures, using two-sided t-tests and Chi2, respectively."
10.1371_journal.pone.0143386,"Statistical analyses were performed using Prism v.6.0 (GraphPad Software, Inc., La Jolla, CA) and SPSS software (Chicago, IL), with a significance level of p<0.05."
10.1371_journal.pone.0113618,All statistical analyses were performed using SPSS 12.0.
10.1371_journal.pone.0193616,"All analyses were performed using SPSS (Version 22, release 22.0.0.2, IBM Corp., USA)."
10.1371_journal.pone.0070297,"For the statistical analysis a statistical Software package (SPSS 17.0, Inc., Chicago, IL, USA) was used in order to perform independent T-tests and Mann-Whitney U tests for the comparison of the prevalence of temporary and permanent tinnitus per age category and for the analysis of the scores on the YANS and BAHPHL."
10.1371_journal.pone.0056091,Statistical analyses were conducted using the Statistical Package for the Social Science (SPSS) version 19.0 and a p-value of less than 0.05 was used to define statistical significance.
10.1371_journal.pone.0066571,"All statistic analyses were computed using Statistical Package for Social Science (SPSS, Chicago, Illinois, USA) software version 19.0 for Windows."
10.1371_journal.pone.0190117,"Apart from Microsoft Excel [20] used to manage qualitative data, the statistical software Stata version 12 [21] was used to generate Table 1."
10.1371_journal.pone.0153318,Analyses were performed in SPSS version 22.
10.1371_journal.pone.0194919,"All analyses were conducted using SPSS version 24.0J (IBM Japan, Tokyo, Japan)."
10.1371_journal.pone.0168303,We used the SAS system (version 9.3 SAS Institute Inc.) for statistical analysis.
10.1371_journal.pone.0052371,"For statistical analyses, the software package SPSS 18.0 (SPSS Inc., Chicago, IL, USA) was used."
10.1371_journal.pone.0037177,"All analyses were conducted using Stata version 11 (StataCorp, College Station, Texas) and Excel version 2007 (Microsoft Corporation, Redmond, Washington)."
10.1371_journal.pone.0187691,All statistics were performed in STATA®/MP 13 software.
10.1371_journal.pone.0190750,Chicago: SPSS Inc.
10.1371_journal.pone.0004983,"Comb area, T and CORT concentrations were log-transformed and fitted to models using a normal error distribution (GLM or Mixed procedures; SAS, 2001)."
10.1371_journal.pone.0005707,"These measurements were analyzed using SPSS to investigate whether apparent size in the two-dimensional plane that is visible to a perceiver varied across low, neutral, and high status cues."
10.1371_journal.pone.0103849,"This was performed using the svyset and svy commands in Stata Version 12.1 (StataCorp, 4905 Lakeway Drive, College Station, Texas 77845, USA)."
10.1371_journal.pone.0058176,Statistical analyses were conducted using Statistical Package for the Social Sciences Version 20.0 (SPSS 20.0) and Analysis of Moment Structures Version 20.0 (AMOS 20.0).
10.1371_journal.pone.0143118,Chicago: SPSS Inc.).
10.1371_journal.pone.0195200,Convenient integration between Matlab and Google Cloud was achieved through using a software called Techila Technologies.
10.1371_journal.pone.0062701,Data from the tracking software was converted into Microsoft Excel format to allow further data analysis.
10.1371_journal.pone.0069481,"The normality tests, repeated measures and multivariate ANOVAs, Student t-test (two-tailed) and Mann-Withney analysis were done using SPSS statistic 19.0 (IBM)."
10.1371_journal.pone.0156216,All analyses were conducted with Stata 14.1 using sampling weights and the suite of svy commands to accurately estimate standard errors.
10.1371_journal.pone.0201095,Studies were exported to remove the duplicates in Refworks™ and then exported to Microsoft Excel.
10.1371_journal.pone.0191632,Data were entered using EpiData 3.0 and all statistical analyses were performed using SPSS 10.01.
10.1371_journal.pone.0083558,Smartphone Addiction Proneness Scale (SAPS) was added to verify the concurrent validity of SAS-SV.
10.1371_journal.pone.0101034,All analyses were conducted using Stata 12.1 [44].
10.1371_journal.pone.0198867,The task was written in Matlab and presented using Psychophysics Toolbox.
10.1371_journal.pone.0118484,"Data analysis was performed using the Statistical Package for the Social Sciences (SPSS for Windows, version 19.0, SPSS Inc, Chicago, IL, USA) and included frequency distribution and association tests."
10.1371_journal.pone.0077645,We also used STATA 10.0 to calculate the equilibrium and Deff.
10.1371_journal.pone.0191255,"We analyzed data in Stata version 14.0 (StataCorp, College Station, Texas)."
10.1371_journal.pone.0157635,The distribution of individual mean values within these categories fitted to a normal distribution according to the Kolmogorov-Smirnov-Test as implemented in SPSS 22.0.
10.1371_journal.pone.0106758,The analyses were performed using SPSS version 18 software.
10.1371_journal.pone.0152765,"All statistical analyses were performed using SAS System for Windows version 9.3 (SAS Institute, Cary, NC)."
10.1371_journal.pone.0094006,"All statistical analysis was carried out with STATA 12.0, Statacorp, College Station, Texas, USA."
10.1371_journal.pone.0065085,All statistical analyses were carried out with SPSS 19.0 software for Windows.
10.1371_journal.pone.0206932,"SPSS version 19.0 (SPSS Inc., Chicago, Ill., USA) was used for statistical data analysis."
10.1371_journal.pone.0051755,The allocation of participants to samples has been performed randomly by applying the option of a random selection of cases in SPSS 18.
10.1371_journal.pone.0160787,Individual treatment reports are all constructed in these excel documents.
10.1371_journal.pone.0143203,"Recorded songs were filtered at 0.3–8 kHz for analysis using software in the Matlab Programming language (The MathWorks, Natick, MA)."
10.1371_journal.pone.0142955,"SPSS version 22.0 (SPSS, Inc.), R [42] and EpiTools [43] programs were used to explore our datasets."
10.1371_journal.pone.0191632,Data were entered using EpiData 3.0 and all statistical analyses were performed using SPSS 10.01.
10.1371_journal.pone.0088586,Statistical analysis was carried out using STATA 11.2 [18].
10.1371_journal.pone.0184327,All analyses were done using IBM SPSS Statistics 20 (IBM Corp 2011) [35].
10.1371_journal.pone.0200519,"Based on two-sample Wilcoxon rank-sum test with a two-tail test α of 5% with 80% power, it was estimated that at least 96 mother-child pairs would be required to detect a 20% difference in the mean duration of ABF between the intervention and control groups (POWER procedure, SAS Version 9.3, SAS Institute, Cary, NC, USA)."
10.1371_journal.pone.0062322,"Genetic correlations with antipsychotics dosage, PANSS score, and altruistic tendency were analyzed using the linear-by-linear association test, Mann-Whitney U test and linear regression tests in the SPSS v11.5 package (SPSS, Chicago, IL, USA)."
10.1371_journal.pone.0055503,"We conducted all analyses in SAS [45], and used residual analyses to confirm the usual normality and homoscedasticity assumptions."
10.1371_journal.pone.0172204,We used STATA 13.1 for the univariate and multivariate statistical analyses.
10.1371_journal.pone.0174512,The main outcome criterion was the “couple” SAS domain score obtained 1 year after surgery in PD patients.
10.1371_journal.pone.0143579,"Stata version 13.1 (Stata Corp LP, College Station, Texas) was used to estimate the analysis models."
10.1371_journal.pone.0095894,"Statistical analyses were performed using SPSS for Windows software version 15.0 (SPSS Inc., Chicago, IL)."
10.1371_journal.pone.0162039,"All preprocessing, time–frequency SPM analyses, and ERP analyses were performed using SPM8 (http://www.fil.ion.ucl.ac.uk/spm) implemented in MATLAB R2012b (MathWorks)."
10.1371_journal.pone.0190442,"Data processing and statistical analyses were conducted using IBM SPSS 22.0 (IBM Corp., Armonk, NY), MATLAB R2015a (The MathWorks, Natick, MA), R 3.3.2 (http://www.R-project.org/), and Python libraries for scientific computation (NumPy, and SciPy) [39]."
10.1371_journal.pone.0096460,"The Statistical Package for the Social Sciences (SPSS) Version 19.0 (SPSS, Chicago, IL) and XLSTAT (Addinsoft SARL, Germany) were used to conduct analyses."
10.1371_journal.pone.0065504,"The data were entered into Epi Info version 6 and transferred into SPSS version 17 (SPSS Inc, Chicago, IL, USA)."
10.1371_journal.pone.0167991,All statistical analyses were performed in SPSS 23.
10.1371_journal.pone.0102172,"For questions for which answers could be “yes,” “I don't know” or “no,” (e.g., “Did any of the field sites have a code of conduct?”), KH and JR conservatively bifurcated responses into “yes” and “not yes.” Chi-square, t-test, and regression models were constructed in JMP 9.0 (SAS, Inc)."
10.1371_journal.pone.0194763,We used the Statistical Package for Social Sciences (IBM SPSS v. 24.0.0.0) for all analyses.
10.1371_journal.pbio.2002556,All other processing and the analysis of the data were performed using Matlab 8.
10.1371_journal.pone.0051158,"The ANOVAs and linear contrasts were performed with SAS version 8.1 (SAS Institute Inc.), while the correlation analyses were performed with JMP (SAS Institute Inc.)."
10.1371_journal.pone.0146956,Data were statistically analyzed using SPSS Statistics 20.0.0.1.
10.1371_journal.pone.0008483,The simulations were run in Excel from Microsoft Office.
10.1371_journal.pone.0072481,"Data were analyzed using SPSS for Windows (version 20.0, 2012, SPSS Inc., Chicago, IL, US)."
10.1371_journal.pone.0183788,Codes developed from the qualitative data on motivators and quantitative data on demographic characteristics were entered in to SPSS version 21 for analysis.
10.1371_journal.pone.0198423,"With the aim of further refining the variable assessment of the phenomenon and attending to its specificity, an extra field ‘general comments’ was added to the Excel matrix, which allowed us to qualitatively address specific aspects that had driven the usage of a specific code and that later would help us to refine the definition by category and code."
10.1371_journal.pone.0088586,Statistical analysis was carried out using STATA 11.2 [18].
10.1371_journal.pone.0129478,The raw data are available as Supporting Information file S1 Dataset (in Excel format).
10.1371_journal.pone.0117359,Analyses were performed using SPSS 14.0.
10.1371_journal.pone.0185733,"Instead, we applied a custom built MATLAB routine (using the speech processing toolbox ‘voicebox’ in MATLAB v. R2014a) to extract acoustic ‘features’ (mel-frequency cepstral coefficients; MFCCs) from single screams and chorus excerpts."
10.1371_journal.pone.0090789,"All analyses were performed using STATA 11 (Stata Corporation, College Station, TX, U.S.A.)"
10.1371_journal.pone.0171316,"All analyses utilized weighted data proportional to sampling probability with village, GV, and health facility cluster weights; standard errors were computed using SAS 9.3 and STATA 14 procedures to account for the complex sampling design."
10.1371_journal.pone.0192909,"All analyses were undertaken using Stata 15.0 (StataCorp, College Station TX)."
10.1371_journal.pmed.1002159,Data analysis was performed using STATA 13; a statistical analysis plan was developed prior to endline data collection and discussed with the funder and program implementers.
10.1371_journal.pone.0085224,Data were statistically analyzed using SPSS Statistics 20.0.0.1.
10.1371_journal.pone.0173457,"Offline filtering and heart beat detection were also conducted in AcqKnowledge before the data were exported into SPSS (Version 23, IBM Corp, USA, NY)."
10.1371_journal.pone.0084339,Analysis of the data occurred using SPSS.
10.1371_journal.pone.0065274,Stimulus presentation and timing of all stimuli and response events were achieved using Matlab (Mathworks) and Psychtoolbox (www.psychtoolbox.org) on an IBM-compatible PC.
10.1371_journal.pone.0157119,"Descriptive statistics of the outcome measure, psychological distress, and the percentage distribution of the variables in the sample were calculated using SPSS Complex Samples, weighting for gender, age and city district."
10.1371_journal.pone.0031660,Random effects meta-regressions were also performed in Stata using the package metareg [44].
10.1371_journal.pone.0125105,"Recommendations, defined as strong declarative statements [27] that were actionable and applicable by a multidisciplinary intersectoral team of professionals in a comprehensive hospital-based elder abuse intervention, as determined by the research team, were collected in a separate excel table."
10.1371_journal.pone.0096632,"All statistical comparisons were performed within GraphPad Prism 5 (GraphPad Software, Inc., La Jolla, CA)."
10.1371_journal.pone.0056674,"All analyses were conducted in Stata v.12 (StataCorp, TX, USA)."
10.1371_journal.pone.0079777,GenBank match denotes the GenBank accession number of the closest GenBank BLAST match.
10.1371_journal.pone.0022093,The sound data obtained were analyzed using SAS Lab Pro (Avisoft).
10.1371_journal.pone.0185815,"Measurement model analysis was conducted using AMOS 23, whereas the remaining analyses were computed using SPSS 23."
10.1371_journal.pone.0189607,"We conducted analyses using the complex survey functions of Stata (version 14) to incorporate weighting, clustering, and stratification of the Natsal-3 data."
10.1371_journal.pone.0165359,"Initial descriptive statistics were calculated in MS Excel®, with subsequent statistical analysis conducted using IBM SPSS Statistics v22®."
10.1371_journal.pone.0122085,All quantitative analyses were conducted using SPSS Statistics 21.
10.1371_journal.pone.0210587,Data extraction was managed in Microsoft Excel using a data extraction proforma developed specifically for this review.
10.1371_journal.pone.0210183,"Analyses were conducted using SPSS version 24 for Mac (IBM SPSS Statistics for Windows, Version 23."
10.1371_journal.pone.0186651,"We used SAS 9.4 (SAS Institute, Cary, NC, USA) for data set-up and analyses."
10.1371_journal.pone.0155313,The data were prepared for analysis using Stata v13 [48] and the structural equation models were estimated using Mplus v7 [46].
10.1371_journal.pone.0147712,Analyses were conducted using SPSS version 20.0.
10.1371_journal.pone.0197483,The multiple mediation analysis was performed using PROCESS for SPSS [29].
10.1371_journal.pone.0162039,"All preprocessing, time–frequency SPM analyses, and ERP analyses were performed using SPM8 (http://www.fil.ion.ucl.ac.uk/spm) implemented in MATLAB R2012b (MathWorks)."
10.1371_journal.pone.0151783,All analyses were performed using Stata 12.0 SE.
10.1371_journal.pone.0168858,"The visual stimuli were generated using Psychophysics toolbox [49–51] in MATLAB (The MathWorks Inc., Natick, MA)."
10.1371_journal.pone.0071922,"To evaluate whether the eight items formed a one-dimensional homogenous scale we performed Mokken Scale analysis for polytomous items [34], using the STATA 12.1 command MSP [35]."
10.1371_journal.pone.0095894,"Statistical analyses were performed using SPSS for Windows software version 15.0 (SPSS Inc., Chicago, IL)."
10.1371_journal.pone.0102820,"SAS version 9.2 was used for all analyses (SAS Institute Inc., Cary, NC, USA, 2000–2008)."
10.1371_journal.pone.0162646,Data were analyzed using SAS® 9.2 and STATA® 12 statistical software®.
10.1371_journal.pone.0079777,"As cut off criteria in the BLAST searches we used a minimum alignment length of 100nt, E-value 0.001 a word size of 11, and a minimum of 70% sequence identity."
10.1371_journal.pone.0130474,"In order to investigate whether sex and body weight could influence the inter-individual variation in the behavioural responses (reflected in the PCs), we performed a general linear model (GLM) as well as linear regressions using SAS."
10.1371_journal.pone.0067887,Analyses were performed by using the statistical package STATA version 11.
10.1371_journal.pone.0065442,"Using SPSS version 18, inter-rater agreement prior to discussion and consensus was calculated as κ = 0.71, indicating substantial agreement."
10.1371_journal.pone.0148440,"The data were managed and analyzed using the statistical software package SPSS (Version 18.0 for Windows SPSS, Inc., Chicago, Ill)."
10.1371_journal.pone.0205197,"Moreover, to assess the statistical significance of the frequency of interactions won, we performed a binomial test using the GraphPad software (www.graphpad.com)."
10.1371_journal.pone.0189023,"All three stages of analysis were conducted using SPSS software (IBM SPSS Statistics 20, IBM Corporation)."
10.1371_journal.pone.0121970,"The automatic classification was performed in MathWorks Matlab, using the PRTools toolbox [57]."
10.1371_journal.pone.0195671,"Cases were extracted from the transcripts with the help of qualitative data analysis software, MaxQDA (version 12), and coded using framework analysis."
10.1371_journal.pone.0146886,Lesion and whole brain areas for each slice were brought into Excel for final volume calculations.
10.1371_journal.pone.0152233,These analyses were performed using IBM SPSS v. 21.
10.1371_journal.pone.0069481,"Linear regression analyses were performed using statistical analyses software (SAS 9) version 9.2 (SAS Institute, Cary, NC)."
10.1371_journal.pone.0166418,"All statistical analyses were performed using the SPSS 19.0 software package (SPSS Inc., Chicago, IL, USA).P-values<0.05 were considered statistically significant."
10.1371_journal.pone.0116542,"All the statistical analyses were conducted using IBM SPSS Statistics, version 20.0."
10.1371_journal.pone.0190750,Chicago: SPSS Inc.
10.1371_journal.pone.0138887,"“Tabodds”, a STATA command tabulates unadjusted and adjusted odds ratios (OR), for each level of the exposure variable against a reference level which by default was the lowest level of the social capital quintile variable[27]."
10.1371_journal.pone.0160558,ToP and demographic data were entered into SPSS version 19.
10.1371_journal.pone.0185135,"All data were analysed using the IBM SPSS Statistics 22 (IBM, NY, USA) software package."
10.1371_journal.pone.0143612,The statistical package for social science 18.0 (SPSS 18.0) program was used for statistical analysis.
10.1371_journal.pone.0137656,"Statistical analyses were performed using SPSS (version 17.0; SPSS Japan Inc., Tokyo, Japan)."
10.1371_journal.pone.0099782,"All data obtained from the communities were recorded using EPI INFO version 5 (CDC, Atlanta) and imported into Microsoft Excel."
10.1371_journal.pone.0073814,"All statistical analyses were conducted using the SPSS version 17.0 (IBM Inc., Armonk, NY, USA)."
10.1371_journal.pone.0167103,All statistical analyses were undertaken using Stata 12.
10.1371_journal.pone.0053052,The data were analysed using Statistical Analysis Systems (SAS) version 9.2.
10.1371_journal.pone.0101372,"All analyses were conducted using PASW Statistics 18 (SPSS Inc., 2009, Chicago, IL, USA) and were two-tailed with a critical p-value of 0.05."
10.1371_journal.pone.0026788,"We carried out the analyses using SPSS 10.0 (SPSS Inc., Chicago, IL, USA)."
10.1371_journal.pone.0168445,"Microsoft Excel and Statistical Package for the Social Sciences (SPSS Version 22.0; Chicago, IL, USA) were used for all data analysis."
10.1371_journal.pone.0207378,SPSS (version 24) was also used to analyse response times with repeated measures analysis of variance (ANOVA).
10.1371_journal.pone.0190254,Responses were then analyzed using SPSS version 23 to determine descriptive frequencies.
10.1371_journal.pone.0198719,"Statistical analyses were performed using Stata software, version 13 (StataCorp, College Station, TX, US)."
10.1371_journal.pone.0197483,The data analysis was carried out using SPSS version 22.
10.1371_journal.pone.0141881,A moderated hierarchical regression was performed using SPSS (IBM) to estimate the amount of variance in child birthweight explained by stressor and distress variables separately and by the interaction among stressors and maternal characteristics.
10.1371_journal.pone.0065504,"The data were entered into Epi Info version 6 and transferred into SPSS version 17 (SPSS Inc, Chicago, IL, USA)."
10.1371_journal.pone.0049748,Stimuli were presented using the Cogent 2000 toolbox (http://www.vislab.ucl.ac.uk/cogent.php) for MATLAB (The Mathworks Inc.) on LCD-goggles (Resonance Technology Inc.).
10.1371_journal.pone.0206889,"Consistent with Résibois, Verduyn, and colleagues [11], each of the obtained 384 self-reported intensity profiles following negative feedback was first transformed into a function using the linear interpolation function (interp1) implemented in MATLAB R2016b [38] and then discretised into 44 equally distanced time points, corresponding to the number of images acquired during the period that participants read and thought about the feedback."
10.1371_journal.pone.0201215,We carried out all our analyses using Stata 12 [50].
10.1371_journal.pone.0164615,"To investigate the relationship between the physiological correlates (HRV and IS) and ER as well as parental psychopathology, partial correlation tests were calculated (alpha = .05, two-tailed) with the SPSS software package (version 20, IBM, Chicago, IL, USA)."
